Region,Product,Units,UnitPrice,Revenue
East,Widget B,12,22.65,271.8
Central,Widget D,54,49.86,2692.44
North,Widget C,50,11.63,581.5
North,Widget B,75,36.47,2735.25
Central,Widget B,78,30.61,2387.58
South,Widget C,85,12.96,1101.6
North,Widget D,37,34.19,1265.03
South,Widget C,54,23.2,1252.8
South,Gadget X,92,13.19,1213.48
East,Gadget X,22,23.01,506.22
North,Widget A,62,15.02,931.24
West,Gadget X,54,13.27,716.58
North,Widget C,10,26.95,269.5
Central,Widget D,91,41.6,3785.6
South,Widget D,95,29.5,2802.5
West,Gadget X,39,14.01,546.39
North,Widget A,69,35.99,2483.31
East,Gadget X,51,17.59,897.09
East,Widget A,43,35.17,1512.31
West,Widget B,96,48.65,4670.4
East,Widget B,71,45.09,3201.39
West,Widget A,48,25.41,1219.68
West,Widget C,80,24.81,1984.8
South,Widget D,51,47.65,2430.15
East,Widget D,2,31.14,62.28
East,Gadget X,31,21.13,655.03
West,Widget A,76,17.17,1304.92
Central,Widget B,31,36.84,1142.04
Central,Gadget X,11,33.28,366.08
West,Widget C,83,10.12,839.96
East,Gadget X,25,43.24,1081.0
South,Widget A,1,47.39,47.39
South,Widget A,69,43.18,2979.42
West,Gadget X,61,46.72,2849.92
Central,Widget A,96,30.28,2906.88
East,Widget B,89,13.72,1221.08
North,Widget C,63,43.53,2742.39
North,Gadget X,51,32.51,1658.01
North,Widget B,45,42.43,1909.35
West,Widget C,3,13.89,41.67
North,Widget D,64,39.04,2498.56
South,Widget D,2,42.24,84.48
East,Widget D,23,18.05,415.15
North,Widget A,57,32.36,1844.52
North,Gadget X,9,15.95,143.55
Central,Widget A,58,32.35,1876.3
West,Widget D,75,37.41,2805.75
West,Widget A,79,16.25,1283.75
Central,Widget A,19,11.01,209.19
East,Widget B,41,10.2,418.2
Central,Widget A,9,23.19,208.71
Central,Widget C,3,16.04,48.12
Central,Widget C,3,23.78,71.34
South,Widget D,52,25.57,1329.64
South,Widget A,37,29.81,1102.97
East,Widget C,6,35.9,215.4
West,Widget A,12,12.67,152.04
North,Widget A,73,12.93,943.89
North,Widget C,18,44.97,809.46
South,Widget D,30,15.73,471.9
West,Gadget X,45,18.44,829.8
West,Widget B,16,29.53,472.48
West,Widget A,94,23.63,2221.22
South,Gadget X,58,17.98,1042.84
West,Widget A,40,24.45,978.0
Central,Widget A,28,11.07,309.96
North,Widget B,98,13.06,1279.88
Central,Widget B,62,25.26,1566.12
East,Widget B,48,42.86,2057.28
South,Gadget X,52,31.73,1649.96
East,Widget B,81,31.2,2527.2
Central,Gadget X,81,41.07,3326.67
West,Widget C,21,49.97,1049.37
South,Widget D,24,47.94,1150.56
East,Widget D,99,37.46,3708.54
West,Widget A,89,20.36,1812.04
North,Widget A,75,22.9,1717.5
East,Widget B,6,29.14,174.84
South,Widget C,22,22.05,485.1
North,Widget B,53,48.17,2553.01
West,Widget D,20,30.57,611.4
Central,Gadget X,6,25.18,151.08
East,Widget D,90,43.75,3937.5
West,Widget B,80,36.89,2951.2
North,Widget B,43,12.85,552.55
North,Gadget X,85,33.27,2827.95
South,Widget B,44,11.32,498.08
Central,Widget C,69,33.88,2337.72
West,Widget D,57,25.77,1468.89
Central,Widget D,31,29.26,907.06
South,Widget B,92,32.08,2951.36
South,Widget D,38,12.33,468.54
South,Widget B,48,15.53,745.44
West,Widget C,82,39.47,3236.54
North,Gadget X,68,25.45,1730.6
East,Widget A,24,10.83,259.92
South,Widget C,89,13.91,1237.99
South,Gadget X,35,41.6,1456.0
West,Widget D,18,15.82,284.76
Central,Widget B,15,49.12,736.8
West,Gadget X,84,10.84,910.56
North,Widget C,45,16.4,738.0
East,Widget B,78,44.83,3496.74
Central,Gadget X,63,22.29,1404.27
Central,Widget C,52,34.41,1789.32
West,Widget B,98,26.66,2612.68
North,Gadget X,22,34.25,753.5
Central,Widget B,19,48.41,919.79
Central,Widget C,65,38.24,2485.6
Central,Widget C,86,25.97,2233.42
West,Gadget X,6,37.0,222.0
West,Widget A,44,28.92,1272.48
South,Gadget X,89,36.72,3268.08
Central,Gadget X,38,47.95,1822.1
West,Gadget X,49,20.72,1015.28
East,Widget D,40,29.52,1180.8
South,Widget A,38,36.15,1373.7
East,Widget C,45,29.89,1345.05
Central,Widget C,89,47.32,4211.48
North,Widget B,32,18.77,600.64
Central,Widget B,47,13.55,636.85
North,Widget D,42,25.17,1057.14
Central,Widget B,39,18.56,723.84
East,Widget D,2,20.52,41.04
East,Widget B,35,18.56,649.6
Central,Widget A,45,12.18,548.1
East,Widget C,24,27.18,652.32
Central,Widget D,32,32.55,1041.6
North,Widget B,11,23.29,256.19
North,Widget D,50,36.43,1821.5
Central,Widget C,35,17.31,605.85
South,Widget D,17,14.16,240.72
East,Widget A,97,37.62,3649.14
West,Gadget X,7,34.23,239.61
Central,Gadget X,52,30.05,1562.6
East,Widget C,96,42.39,4069.44
West,Widget D,84,47.74,4010.16
West,Widget D,3,44.42,133.26
West,Widget A,65,37.51,2438.15
East,Widget D,99,25.92,2566.08
East,Widget A,59,42.81,2525.79
East,Gadget X,30,22.32,669.6
North,Widget B,11,30.38,334.18
West,Widget D,97,29.36,2847.92
North,Widget C,46,10.1,464.6
Central,Gadget X,79,46.78,3695.62
West,Gadget X,39,16.08,627.12
Central,Widget D,95,43.08,4092.6
Central,Widget D,58,41.87,2428.46
Central,Widget C,61,10.46,638.06
North,Gadget X,10,24.55,245.5
North,Widget B,67,10.7,716.9
West,Widget A,6,44.38,266.28
Central,Widget D,18,26.01,468.18
